Course Name,Code,Acronym,Course Organiser,Course Secretary,Semester,Credits,Course info notes,Live this year? 2022/23,2023/24,(Predicted) Student Numbers,Group Size (max),Number of Tutorial Groups,Tutor Hrs p/w,No of weeks,No ST Required,Super Tutor contact hrs for 1 session,Super Tutor Multiplier,No T Required,Tutor contact hrs for 1 session,Tutor marking multiplier,Tutor Marking Hours,Hours Required,NYT,Frequency
Nonlinear Optimization,MATH11244,NLO,,gaitchi2,Semester 2,10,,,,35,15,,1,5,0,1,0,0,5,2,5,0,P,Even
Nonlinear Optimization - Comp Lab,MATH11244_L,NLO_lab,,gaitchi2,Semester 2,10,,,,35,15,2,1,5,,5,1,2,5,2,5,23,P,Odd
Quantum Mechanics for Mathematicians,MATH10107,QMM,,,,,New for 24/25,,N,,15,0,,,,0,1,0,0,2,0,0,,
Classical Field Theory,MATH11241,CFT,,,,,New for 24/25,,N,15,15,1,,,,0,1,1,0,2,0,0,,
Category Theory,MATH11237,CTh,,mdelane1,Semester 1,10,,,,15,15,1,1,10,0,10,1,1,10,2,10,20,,Even
Insights Through Data,EFI11025/6,ITD,,lcaudrey,Full Year,,,,,,,,,,,,,,,,0,,,
Representation Theory,MATH00003,RepTh,SMSTC,lcaudrey,Semester 1,0,,,,,,,1,10,0,0,1,1,10,1,0,10,,
Differential Topology,MATH00004,Dtop,SMSTC,lcaudrey,Semester 2,0,,,,,,,1,10,0,0,1,1,10,1,0,10,,
Hopf Algebras,MATH00005,HopfA,SMSTC,lcaudrey,Semester 2,0,,,,,,,1,10,0,0,1,1,10,1,0,10,,
Homological Algebra,MATH00006,HomA,SMSTC,lcaudrey,Semester 2,0,,,,,,,1,10,0,0,1,1,10,1,0,10,,
,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,0,,,
